"","Sample name","Sample receipt","Metals","General chemistry"
"1","R2104684","Six water samples were received for analysis at ALS Environmental on 05/13/2021. Any discrepancies upon initial sample, inspection are annotated on the sample receipt and preservation form included within this report. The samples were stored at, minimum in accordance with the analytical method requirements.","No significant anomalies were noted with this analysis.","Method 351.2: One or more samples were received with insufficient hold time remaining to complete the analysis within the, recommended limit. The analysis was performed as soon as possible after receipt by the laboratory. The data is flagged to, indicate the holding time exceedance., Method SM 2120 B-2001(2011), One or more samples were received past the recommended holding time. The customer was, notified when the discrepancy was found and instructed the laboratory to proceed with processing. The analysis was performed, as soon as possible after receipt by the laboratory. The data is flagged to indicate the holding time exceedance."
"2","R2105522","Twelve water samples were received for analysis at ALS Environmental on 06/03/2021. Any discrepancies upon initial sample, inspection are annotated on the sample receipt and preservation form included within this report. The samples were stored at, minimum in accordance with the analytical method requirements.","No significant anomalies were noted with this analysis.","Method 353.2, One or more samples were received past the recommended holding time. The customer was notified when the, discrepancy was found and instructed the laboratory to proceed with processing. The analysis was performed as soon as, possible after receipt by the laboratory. The data is flagged to indicate the holding time exceedance."
"3","R2105834","Twenty eight water samples were received for analysis at ALS Environmental on 06/10/2021. Any discrepancies upon initial, sample inspection are annotated on the sample receipt and preservation form included within this report. The samples were, stored at minimum in accordance with the analytical method requirements.","No significant anomalies were noted with this analysis.","Method 353.2, One or more samples were received past the recommended holding time. The customer was notified when the, discrepancy was found and instructed the laboratory to proceed with processing. The analysis was performed as soon as, possible after receipt by the laboratory. The data is flagged to indicate the holding time exceedance., Method SM 2120 B-2001(2011), One or more samples were received past the recommended holding time. The customer was, notified when the discrepancy was found and instructed the laboratory to proceed with processing. The analysis was performed, as soon as possible after receipt by the laboratory. The data is flagged to indicate the holding time exceedance."
"4","R2105911","Eighteen water samples were received for analysis at ALS Environmental on 06/15/2021. Any discrepancies upon initial sample, inspection are annotated on the sample receipt and preservation form included within this report. The samples were stored at, minimum in accordance with the analytical method requirements.","No significant anomalies were noted with this analysis.","No significant anomalies were noted with this analysis."
"5","R2105965","Fourteen water samples were received for analysis at ALS Environmental on 06/16/2021 - 06/17/2021. Any discrepancies upon, initial sample inspection are annotated on the sample receipt and preservation form included within this report. The samples, were stored at minimum in accordance with the analytical method requirements.","Method 200.8, 06/22/2021, R2105965-007: The upper control limit was exceeded for the internal standard recovery associated, with Arsenic. The field sample did not contain the analyte(s) in question and the Matrix Spike (MS) and Matrix Spike Duplicate, (MSD) for the sample are within limits. Since the Serial Dilution confirms a non-detect in sample data quality was not significantly, affected therefore was reported.","Method 353.2, One or more samples were received past the recommended holding time. The customer was notified when the, discrepancy was found and instructed the laboratory to proceed with processing. The analysis was performed as soon as, possible after receipt by the laboratory. The data is flagged to indicate the holding time exceedance., , Method 353.2: One or more samples were received with insufficient hold time remaining to complete the analysis within the, recommended limit. The analysis was performed as soon as possible after receipt by the laboratory. The data is flagged to, indicate the holding time exceedance., , Method SM 2120 B-2001(2011): One or more samples were received with insufficient hold time remaining to complete the, analysis within the recommended limit. The analysis was performed as soon as possible after receipt by the laboratory. The, data is flagged to indicate the holding time exceedance., Method SM 5910 B: One or more samples were received with insufficient hold time remaining to complete the analysis within the, recommended limit. The analysis was performed as soon as possible after receipt by the laboratory. The data is flagged to, indicate the holding time exceedance."
"6","R2106089","Sixteen water samples were received for analysis at ALS Environmental on 06/17/2021. Any discrepancies upon initial sample, inspection are annotated on the sample receipt and preservation form included within this report. The samples were stored at, minimum in accordance with the analytical method requirements.","No significant anomalies were noted with this analysis.","No significant anomalies were noted with this analysis."
"7","R2106188","Eight water samples were received for analysis at ALS Environmental on 06/22/2021. Any discrepancies upon initial sample, inspection are annotated on the sample receipt and preservation form included within this report. The samples were stored at, minimum in accordance with the analytical method requirements.","No significant anomalies were noted with this analysis.","No significant anomalies were noted with this analysis."
"8","R2106235","Sixteen water samples were received for analysis at ALS Environmental on 06/23/2021. Any discrepancies upon initial sample, inspection are annotated on the sample receipt and preservation form included within this report. The samples were stored at, minimum in accordance with the analytical method requirements.","No significant anomalies were noted with this analysis.","No significant anomalies were noted with this analysis., , Please note: TKN, NH3 and NO2+NO3 were analyzed on R2106235-016 (the filtered portion) rather than R2106235-015 and, could not be reanalyzed within holding time. The client was notified and the analysis reported."
"9","R2106236","Fourteen water samples were received for analysis at ALS Environmental on 06/23/2021. Any discrepancies upon initial sample, inspection are annotated on the sample receipt and preservation form included within this report. The samples were stored at, minimum in accordance with the analytical method requirements.","No significant anomalies were noted with this analysis.","No significant anomalies were noted with this analysis."
"10","R2106357","Twelve water samples were received for analysis at ALS Environmental on 06/24/2021. Any discrepancies upon initial sample, inspection are annotated on the sample receipt and preservation form included within this report. The samples were stored at, minimum in accordance with the analytical method requirements.","No significant anomalies were noted with this analysis.","No significant anomalies were noted with this analysis."
