"","sample","client.id","date","time"
"1","R2105834-001","21L0101","6/8/2021",NA
"2","R2105834-002","21L0101 Diss","6/8/2021",NA
"3","R2105834-003","21L0102","6/8/2021",NA
"4","R2105834-004","21L0102 Diss","6/8/2021",NA
"5","R2105834-005","21L0097","6/7/2021",NA
"6","R2105834-006","21L0097 Diss","6/7/2021",NA
"7","R2105834-007","21L0098","6/7/2021",NA
"8","R2105834-008","21L0098 Diss","6/7/2021",NA
"9","R2105834-009","21L0107","6/9/2021",NA
"10","R2105834-010","21L0107 Diss","6/9/2021",NA
"11","R2105834-011","21L0108","6/9/2021",NA
"12","R2105834-012","21L0108 Diss","6/9/2021",NA
"13","R2105834-013","21L0085","6/7/2021","1400"
"14","R2105834-014","21L0085 Diss","6/7/2021","1400"
"15","R2105834-015","21L0086","6/7/2021","1400"
"16","R2105834-016","21L0086 Diss","6/7/2021","1400"
"17","R2105834-017","21L0087","6/7/2021","1400"
"18","R2105834-018","21L0087 Diss","6/7/2021","1400"
"19","R2105834-019","21L0088","6/7/2021","1400"
"20","R2105834-020","21L0088 Diss","6/7/2021","1400"
"21","R2105834-021","21L0089","6/8/2021","0954"
"22","R2105834-022","21L0089 Diss","6/8/2021","0954"
"23","R2105834-023","21L0090","6/8/2021","0954"
"24","R2105834-024","21L0090 Diss","6/8/2021","0954"
"25","R2105834-025","21L0093","6/9/2021","1309"
"26","R2105834-026","21L0093 Diss","6/9/2021","1309"
"27","R2105834-027","21L0094","6/9/2021","1309"
"28","R2105834-028","21L0094 Diss","6/9/2021","1309"
